Loss_Adversary	Loss_Target	
-0.3799	0.2694	0.9112	
-0.3802	0.2729	0.9146	
-0.3803	0.2624	0.9062	
-0.3807	0.2675	0.9110	
-0.3804	0.2689	0.9116	
-0.3804	0.2663	0.9096	
-0.3805	0.2678	0.9110	
-0.3808	0.2697	0.9130	
-0.3808	0.2663	0.9102	
-0.3804	0.2608	0.9051	
-0.3782	0.2812	0.9177	
-0.3813	0.2653	0.9103	
-0.3807	0.2630	0.9075	
-0.3809	0.2726	0.9157	
-0.3795	0.2613	0.9038	
-0.3801	0.2699	0.9120	
-0.3800	0.2731	0.9144	
-0.3801	0.2699	0.9119	
-0.3803	0.2637	0.9073	
-0.3791	0.2685	0.9090	
-0.3800	0.2725	0.9139	
-0.3806	0.2636	0.9077	
-0.3808	0.2670	0.9107	
-0.3795	0.2697	0.9106	
-0.3803	0.2687	0.9113	
-0.3804	0.2675	0.9106	
-0.3812	0.2667	0.9113	
-0.3801	0.2657	0.9085	
-0.3809	0.2661	0.9102	
-0.3806	0.2714	0.9140	
-0.3810	0.2658	0.9102	
-0.3802	0.2683	0.9107	
-0.3804	0.2674	0.9104	
-0.3807	0.2674	0.9109	
-0.3790	0.2672	0.9078	
-0.3803	0.2701	0.9125	
-0.3793	0.2739	0.9138	
-0.3807	0.2641	0.9083	
-0.3805	0.2678	0.9110	
-0.3804	0.2651	0.9086	
-0.3807	0.2714	0.9143	
-0.3803	0.2646	0.9080	
-0.3791	0.2695	0.9098	
-0.3808	0.2654	0.9096	
-0.3801	0.2677	0.9102	
-0.3807	0.2715	0.9142	
-0.3806	0.2628	0.9071	
-0.3800	0.2697	0.9116	
-0.3801	0.2671	0.9097	
-0.3800	0.2696	0.9115	
-0.3807	0.2712	0.9140	
-0.3806	0.2659	0.9095	
-0.3808	0.2665	0.9105	
-0.3808	0.2683	0.9119	
-0.3808	0.2619	0.9067	
-0.3804	0.2703	0.9127	
-0.3808	0.2697	0.9131	
-0.3799	0.2679	0.9100	
-0.3807	0.2686	0.9119	
-0.3805	0.2643	0.9080	
-0.3790	0.2710	0.9109	
-0.3803	0.2696	0.9120	
-0.3806	0.2706	0.9134	
-0.3802	0.2645	0.9077	
-0.3809	0.2664	0.9105	
-0.3800	0.2733	0.9146	
-0.3815	0.2632	0.9090	
-0.3807	0.2722	0.9149	
-0.3812	0.2621	0.9076	
-0.3811	0.2599	0.9055	
-0.3818	0.2618	0.9084	
-0.3828	0.2532	0.9033	
-0.3840	0.2577	0.9090	
-0.3837	0.2549	0.9062	
-0.3846	0.2447	0.8995	
-0.3857	0.2561	0.9108	
-0.3853	0.2399	0.8968	
-0.3858	0.2511	0.9068	
-0.3866	0.2447	0.9031	
-0.3868	0.2428	0.9019	
-0.3870	0.2488	0.9072	
-0.3864	0.2434	0.9017	
-0.3868	0.2432	0.9022	
-0.3873	0.2390	0.8997	
-0.3862	0.2503	0.9070	
-0.3877	0.2377	0.8994	
-0.3864	0.2529	0.9094	
-0.3863	0.2339	0.8937	
-0.3871	0.2522	0.9101	
-0.3880	0.2399	0.9017	
-0.3877	0.2430	0.9036	
-0.3872	0.2369	0.8978	
-0.3877	0.2411	0.9022	
-0.3887	0.2435	0.9060	
-0.3875	0.2382	0.8994	
-0.3871	0.2428	0.9025	
-0.3874	0.2411	0.9016	
-0.3876	0.2428	0.9033	
-0.3880	0.2329	0.8961	
-0.3875	0.2487	0.9080	
-0.3873	0.2438	0.9036	
-0.3879	0.2374	0.8994	
-0.3888	0.2370	0.9009	
-0.3876	0.2393	0.9006	
-0.3887	0.2413	0.9041	
-0.3871	0.2432	0.9028	
-0.3878	0.2361	0.8983	
-0.3876	0.2409	0.9019	
-0.3880	0.2413	0.9028	
-0.3877	0.2326	0.8952	
-0.3880	0.2423	0.9036	
-0.3880	0.2415	0.9031	
-0.3887	0.2339	0.8980	
-0.3876	0.2405	0.9015	
-0.3882	0.2349	0.8981	
-0.3883	0.2428	0.9046	
-0.3878	0.2325	0.8953	
-0.3882	0.2452	0.9064	
-0.3878	0.2322	0.8951	
-0.3881	0.2439	0.9052	
-0.3880	0.2432	0.9045	
-0.3878	0.2350	0.8974	
-0.3890	0.2376	0.9017	
-0.3883	0.2389	0.9015	
-0.3887	0.2317	0.8963	
-0.3869	0.2468	0.9054	
-0.3884	0.2340	0.8976	
-0.3887	0.2382	0.9016	
-0.3879	0.2400	0.9016	
-0.3882	0.2393	0.9016	
-0.3881	0.2366	0.8992	
-0.3876	0.2367	0.8985	
-0.3891	0.2406	0.9043	
-0.3895	0.2350	0.9003	
-0.3891	0.2346	0.8993	
-0.3887	0.2336	0.8978	
-0.3884	0.2385	0.9014	
-0.3883	0.2442	0.9057	
-0.3880	0.2350	0.8978	
-0.3888	0.2327	0.8973	
-0.3879	0.2410	0.9024	
-0.3890	0.2410	0.9045	
-0.3880	0.2327	0.8959	
-0.3880	0.2399	0.9017	
-0.3885	0.2400	0.9027	
-0.3881	0.2344	0.8975	
-0.3889	0.2424	0.9055	
-0.3892	0.2332	0.8984	
-0.3893	0.2332	0.8987	
-0.3888	0.2413	0.9044	
-0.3892	0.2306	0.8962	
-0.3892	0.2386	0.9028	
-0.3891	0.2371	0.9014	
-0.3887	0.2322	0.8967	
-0.3892	0.2421	0.9058	
-0.3892	0.2316	0.8970	
-0.3897	0.2317	0.8982	
-0.3895	0.2387	0.9036	
-0.3895	0.2328	0.8987	
-0.3887	0.2378	0.9013	
-0.3894	0.2371	0.9020	
-0.3889	0.2356	0.8998	
-0.3892	0.2293	0.8952	
-0.3898	0.2364	0.9023	
-0.3878	0.2433	0.9042	
-0.3886	0.2315	0.8960	
-0.3895	0.2330	0.8987	
-0.3892	0.2392	0.9032	
-0.3892	0.2362	0.9008	
-0.3890	0.2289	0.8945	
-0.3892	0.2421	0.9058	
-0.3889	0.2354	0.8998	
-0.3899	0.2270	0.8946	
-0.3887	0.2386	0.9020	
-0.3898	0.2384	0.9038	
-0.3898	0.2313	0.8980	
-0.3878	0.2355	0.8977	
-0.3895	0.2350	0.9004	
-0.3897	0.2340	0.9001	
-0.3892	0.2279	0.8941	
-0.3889	0.2419	0.9051	
-0.3898	0.2392	0.9043	
-0.3895	0.2260	0.8931	
-0.3896	0.2379	0.9029	
-0.3892	0.2361	0.9008	
-0.3898	0.2286	0.8958	
-0.3904	0.2328	0.9003	
-0.3896	0.2322	0.8983	
-0.3899	0.2353	0.9015	
-0.3899	0.2340	0.9005	
-0.3903	0.2270	0.8953	
-0.3892	0.2371	0.9016	
-0.3894	0.2373	0.9021	
-0.3899	0.2289	0.8962	
-0.3892	0.2347	0.8996	
-0.3906	0.2358	0.9031	
-0.3904	0.2282	0.8966	
-0.3899	0.2314	0.8983	
-0.3898	0.2381	0.9036	
-0.3894	0.2331	0.8986	
-0.3889	0.2352	0.8994	
-0.3892	0.2394	0.9034	
-0.3885	0.2348	0.8986	
-0.3893	0.2307	0.8965	
-0.3892	0.2345	0.8994	
-0.3901	0.2353	0.9018	
-0.3903	0.2314	0.8990	
-0.3901	0.2307	0.8981	
-0.3898	0.2347	0.9007	
-0.3901	0.2328	0.8996	
-0.3900	0.2299	0.8973	
-0.3894	0.2396	0.9041	
-0.3906	0.2329	0.9007	
-0.3900	0.2270	0.8948	
-0.3900	0.2358	0.9021	
-0.3897	0.2322	0.8985	
-0.3904	0.2311	0.8989	
-0.3903	0.2344	0.9015	
-0.3905	0.2312	0.8992	
-0.3901	0.2288	0.8965	
-0.3913	0.2322	0.9014	
-0.3904	0.2345	0.9016	
-0.3903	0.2265	0.8950	
-0.3896	0.2364	0.9019	
-0.3899	0.2321	0.8987	
-0.3898	0.2287	0.8958	
-0.3905	0.2325	0.9002	
-0.3896	0.2358	0.9013	
-0.3911	0.2277	0.8973	
-0.3902	0.2355	0.9022	
-0.3898	0.2320	0.8985	
-0.3908	0.2287	0.8977	
-0.3905	0.2321	0.9000	
-0.3903	0.2335	0.9006	
-0.3910	0.2270	0.8966	
-0.3891	0.2335	0.8985	
-0.3897	0.2337	0.8998	
-0.3902	0.2369	0.9032	
-0.3899	0.2323	0.8989	
-0.3899	0.2267	0.8943	
-0.3901	0.2375	0.9036	
-0.3903	0.2288	0.8967	
-0.3904	0.2314	0.8991	
-0.3901	0.2392	0.9051	
-0.3907	0.2244	0.8938	
-0.3902	0.2293	0.8972	
-0.3904	0.2365	0.9034	
-0.3906	0.2228	0.8925	
-0.3907	0.2306	0.8991	
-0.3901	0.2369	0.9030	
-0.3901	0.2308	0.8982	
-0.3906	0.2321	0.9001	
-0.3905	0.2285	0.8970	
-0.3905	0.2272	0.8959	
-0.3904	0.2343	0.9015	
-0.3907	0.2322	0.9003	
-0.3896	0.2319	0.8980	
-0.3911	0.2282	0.8977	
-0.3894	0.2310	0.8969	
-0.3904	0.2322	0.8998	
-0.3904	0.2297	0.8978	
-0.3901	0.2344	0.9010	
-0.3913	0.2282	0.8980	
-0.3900	0.2296	0.8969	
-0.3903	0.2341	0.9013	
-0.3907	0.2294	0.8982	
-0.3900	0.2310	0.8980	
-0.3901	0.2286	0.8964	
-0.3902	0.2350	0.9018	
-0.3897	0.2291	0.8960	
-0.3912	0.2297	0.8993	
-0.3913	0.2341	0.9029	
-0.3904	0.2278	0.8961	
-0.3912	0.2272	0.8971	
-0.3908	0.2350	0.9029	
-0.3906	0.2300	0.8984	
-0.3909	0.2268	0.8963	
-0.3901	0.2345	0.9011	
-0.3905	0.2298	0.8980	
-0.3905	0.2295	0.8979	
-0.3898	0.2357	0.9016	
-0.3901	0.2283	0.8961	
-0.3910	0.2316	0.9004	
-0.3906	0.2339	0.9016	
-0.3907	0.2271	0.8962	
