Loss_Adversary	Loss_Target	
-0.3075	0.0945	0.7738	
-0.3085	0.1192	0.8046	
-0.3081	0.1013	0.7829	
-0.3083	0.1157	0.8001	
-0.3078	0.0969	0.7771	
-0.3081	0.1261	0.8117	
-0.3078	0.0971	0.7774	
-0.3086	0.1224	0.8085	
-0.3080	0.0994	0.7806	
-0.3084	0.1139	0.7983	
-0.3083	0.1177	0.8024	
-0.3083	0.1062	0.7890	
-0.3084	0.1148	0.7992	
-0.3078	0.1001	0.7810	
-0.3078	0.1033	0.7846	
-0.3081	0.1055	0.7878	
-0.3083	0.1094	0.7927	
-0.3083	0.1089	0.7922	
-0.3079	0.1002	0.7812	
-0.3073	0.1565	0.8453	
-0.3071	0.0851	0.7620	
-0.3084	0.1273	0.8137	
-0.3079	0.1010	0.7822	
-0.3084	0.1145	0.7989	
-0.3079	0.0988	0.7796	
-0.3085	0.1209	0.8065	
-0.3075	0.1001	0.7803	
-0.3082	0.1230	0.8083	
-0.3080	0.1008	0.7822	
-0.3084	0.1140	0.7984	
-0.3083	0.1177	0.8024	
-0.3083	0.1061	0.7888	
-0.3085	0.1158	0.8006	
-0.3087	0.1188	0.8045	
-0.3076	0.0948	0.7744	
-0.3084	0.1179	0.8028	
-0.3077	0.0935	0.7730	
-0.3083	0.1085	0.7916	
-0.3080	0.1036	0.7854	
-0.3084	0.1111	0.7951	
-0.3085	0.1120	0.7962	
-0.3084	0.1112	0.7950	
-0.3083	0.1087	0.7920	
-0.3081	0.1037	0.7858	
-0.3085	0.1084	0.7920	
-0.3084	0.1070	0.7903	
-0.3083	0.1159	0.8004	
-0.3079	0.1008	0.7820	
-0.3082	0.1234	0.8087	
-0.3077	0.0994	0.7799	
-0.3085	0.1156	0.8004	
-0.3084	0.1125	0.7967	
-0.3084	0.1114	0.7954	
-0.3083	0.1079	0.7910	
-0.3083	0.1185	0.8034	
-0.3084	0.1116	0.7955	
-0.3081	0.1036	0.7855	
-0.3083	0.1174	0.8021	
-0.3083	0.1016	0.7836	
-0.3088	0.1145	0.7996	
-0.3084	0.1089	0.7923	
-0.3082	0.1089	0.7921	
-0.3085	0.1095	0.7933	
-0.3088	0.1188	0.8047	
-0.3085	0.1094	0.7933	
-0.3083	0.1153	0.7996	
-0.3084	0.1052	0.7881	
-0.3087	0.1098	0.7940	
-0.3081	0.0987	0.7800	
-0.3086	0.1167	0.8018	
-0.3084	0.1088	0.7922	
-0.3085	0.1078	0.7914	
-0.3083	0.1026	0.7849	
-0.3088	0.1130	0.7979	
-0.3085	0.1035	0.7863	
-0.3086	0.1113	0.7956	
-0.3085	0.1077	0.7911	
-0.3087	0.1158	0.8010	
-0.3085	0.1089	0.7927	
-0.3086	0.1092	0.7933	
-0.3088	0.1215	0.8078	
-0.3084	0.1006	0.7827	
-0.3086	0.1161	0.8013	
-0.3085	0.1111	0.7952	
-0.3085	0.1096	0.7933	
-0.3083	0.1027	0.7850	
-0.3087	0.1143	0.7993	
-0.3084	0.1041	0.7869	
-0.3084	0.1049	0.7877	
-0.3086	0.1168	0.8019	
-0.3084	0.1072	0.7905	
-0.3088	0.1135	0.7987	
-0.3084	0.0998	0.7818	
-0.3086	0.1096	0.7936	
-0.3081	0.0977	0.7787	
-0.3082	0.1378	0.8255	
-0.3082	0.0972	0.7784	
-0.3084	0.1343	0.8220	
-0.3080	0.0964	0.7770	
-0.3086	0.1301	0.8174	
-0.3084	0.1045	0.7873	
-0.3089	0.1160	0.8016	
-0.3083	0.1016	0.7838	
-0.3089	0.1262	0.8135	
-0.3082	0.0995	0.7811	
-0.3088	0.1153	0.8007	
-0.3088	0.1135	0.7986	
-0.3081	0.0973	0.7784	
-0.3087	0.1210	0.8071	
-0.3084	0.1059	0.7889	
-0.3089	0.1114	0.7963	
-0.3081	0.0944	0.7750	
-0.3088	0.1197	0.8057	
-0.3080	0.0955	0.7760	
-0.3086	0.1253	0.8118	
-0.3085	0.1066	0.7899	
-0.3088	0.1205	0.8066	
-0.3074	0.0881	0.7662	
-0.3085	0.1348	0.8226	
-0.3077	0.0917	0.7708	
-0.3084	0.1384	0.8265	
-0.3082	0.1005	0.7822	
